race_id,dog_name,box,predicted_rank,shadow_rf_calibrated_probability,odds_decimal,odds_match_status,odds_exclusion_reason,odds_provenance_status,odds_match_method,odds_source_url,odds_timestamp,odds_stale_at_prediction,stale_odds_after_minutes,odds_captured_before_prediction,odds_captured_before_feature_freeze,odds_age_minutes_at_feature_freeze,odds_captured_before_jump,odds_age_minutes_at_jump
Race 2 - LADBROKES-Q1-LAKESIDE - 2026-06-10,Positive Current,2,1,0.1933119518183684,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - LADBROKES-Q1-LAKESIDE - 2026-06-10,Hold And Spin,3,5,0.11256642435799827,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - LADBROKES-Q1-LAKESIDE - 2026-06-10,Midnight Mistake,4,8,0.07596293710491461,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - LADBROKES-Q1-LAKESIDE - 2026-06-10,Pretty Miss,5,7,0.0781999695419808,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - LADBROKES-Q1-LAKESIDE - 2026-06-10,Signing Papers,6,6,0.08361593020160976,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - LADBROKES-Q1-LAKESIDE - 2026-06-10,Goldstar Henry,7,4,0.11682755091411914,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 2 - LADBROKES-Q1-LAKESIDE - 2026-06-10,Pay The Piper,8,3,0.1468594484273763,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 3 - BEN - 2026-06-10,Zipping Nebula,1,1,0.21178107388194947,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 3 - BEN - 2026-06-10,Paw Hailee,2,2,0.19161491093991942,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 3 - BEN - 2026-06-10,Collinda Ramsay,3,4,0.14276562517562427,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 3 - BEN - 2026-06-10,Billies Rainbow,4,7,0.08603607834716447,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 3 - BEN - 2026-06-10,Dark Habits,6,6,0.09324990014819781,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 3 - BEN - 2026-06-10,Perfect Jenny,7,5,0.12622842080293842,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 3 - BEN - 2026-06-10,Who She Rules,8,3,0.14832399070420596,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 4 - BEN - 2026-06-10,Raes Rainbow,1,1,0.27108419059138644,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 4 - BEN - 2026-06-10,Ivory Ramen,2,2,0.19587414782886106,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 4 - BEN - 2026-06-10,Idyllic Meyer,3,5,0.09913137736006977,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 4 - BEN - 2026-06-10,Paris Mash,4,6,0.09810824085364753,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 4 - BEN - 2026-06-10,Paw Alicia,6,4,0.10749830907376699,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 4 - BEN - 2026-06-10,Autumn Angel,7,7,0.048497370214626315,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 4 - BEN - 2026-06-10,Yankee Blood,8,3,0.17980636407764192,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 7 - MURRAY-BRIDGE-STRAIGHT - 2026-06-10,Afire,1,2,0.23120767474324141,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 7 - MURRAY-BRIDGE-STRAIGHT - 2026-06-10,Deep Purple,2,3,0.2305704797237676,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 7 - MURRAY-BRIDGE-STRAIGHT - 2026-06-10,Yvonnes Pick,4,4,0.1254769416489115,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 7 - MURRAY-BRIDGE-STRAIGHT - 2026-06-10,Chicken Knight,5,6,0.06550026051129479,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 7 - MURRAY-BRIDGE-STRAIGHT - 2026-06-10,Shiny Pistol,7,5,0.09570781810484666,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 7 - MURRAY-BRIDGE-STRAIGHT - 2026-06-10,Jade Palms,8,1,0.2515368252679382,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 8 - MURRAY-BRIDGE-STRAIGHT - 2026-06-10,Zinfandel Dash,1,1,0.31880917039237716,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 8 - MURRAY-BRIDGE-STRAIGHT - 2026-06-10,Federal Lady,2,2,0.19554826703269004,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 8 - MURRAY-BRIDGE-STRAIGHT - 2026-06-10,Paw Leon,4,4,0.12728170975862424,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 8 - MURRAY-BRIDGE-STRAIGHT - 2026-06-10,Make Some Noise,5,5,0.10618807997232402,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 8 - MURRAY-BRIDGE-STRAIGHT - 2026-06-10,Jan Hewett,7,6,0.10069487275133192,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 8 - MURRAY-BRIDGE-STRAIGHT - 2026-06-10,Storm Sister,8,3,0.15147790009265283,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 9 - CAPALABA - 2026-06-10,Aston Tolhurst,1,1,0.24277969452821108,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 9 - CAPALABA - 2026-06-10,Fragile Frankie,2,2,0.18785639963707904,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 9 - CAPALABA - 2026-06-10,Tempo And Touch,3,5,0.09899675692311254,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 9 - CAPALABA - 2026-06-10,Haras Max,4,7,0.06238453839272504,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 9 - CAPALABA - 2026-06-10,My Mate Nick,5,8,0.04058080498647421,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 9 - CAPALABA - 2026-06-10,Pierre Hayze,6,6,0.07368331374686671,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 9 - CAPALABA - 2026-06-10,Avoid The Noise,7,4,0.13416615103588161,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 9 - CAPALABA - 2026-06-10,Extreme Grunt,8,3,0.15955234074964972,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 9 - TEMORA - 2026-06-10,Dark Panther,1,2,0.28529617837347093,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 9 - TEMORA - 2026-06-10,My Three Boys,2,1,0.2891646834965302,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 9 - TEMORA - 2026-06-10,Darcy Mac,3,5,0.09674426127008036,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 9 - TEMORA - 2026-06-10,Roar Of Thunder,4,7,0.05504197546406421,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 9 - TEMORA - 2026-06-10,Lets Go Out,6,6,0.06251612215757693,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 9 - TEMORA - 2026-06-10,Pigeons Desire,7,3,0.11165760230602265,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
Race 9 - TEMORA - 2026-06-10,Resist The Urge,8,4,0.09957917693225486,,no_odds_row,no_odds_row,excluded,,,,,,,,,,
