race_id,sidecar_path,csv_path,csv_exists,runner_count,status,weather_present,track_condition_present,both_weather_track_present,weather,track_condition,metadata_is_leakage_safe,weather_track_metadata_is_leakage_safe,weather_track_metadata_source,weather_track_metadata_source_url,metadata_captured_at,race_date,race_time,rejected_reasons
Race 7 - GUNNEDAH - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T165000_daemon_autonomous_stage2_daemon_autopilot/eligible_inputs/source_0002/Race 7 - GUNNEDAH - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T165000_daemon_autonomous_stage2_daemon_autopilot/eligible_inputs/source_0002/Race 7 - GUNNEDAH - 2026-06-10.csv,True,7,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/gunnedah/2026-06-10/7/tg-mornington-butchery-6-15?trial=false,2026-06-10T06:53:31Z,2026-06-10,5:05 PM,weather_track_metadata_is_leakage_safe_not_true
Race 9 - BEN - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T165000_daemon_autonomous_stage2_daemon_autopilot/eligible_inputs/source_0003/Race 9 - BEN - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T165000_daemon_autonomous_stage2_daemon_autopilot/eligible_inputs/source_0003/Race 9 - BEN - 2026-06-10.csv,True,6,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/bendigo/2026-06-10/9/sportsbet-more-places?trial=false,2026-06-10T06:53:27Z,2026-06-10,4:57 PM,weather_track_metadata_is_leakage_safe_not_true
Race 1 - MEADOWS - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T173835+1000_daemon_autopilot/eligible_inputs/source_0001/Race 1 - MEADOWS - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T173835+1000_daemon_autopilot/eligible_inputs/source_0001/Race 1 - MEADOWS - 2026-06-10.csv,True,8,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/meadows/2026-06-10/1/city-view-bistro?trial=false,2026-06-10T07:40:08Z,2026-06-10,6:57 PM,weather_track_metadata_is_leakage_safe_not_true
Race 1 - ROCKHAMPTON - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T173835+1000_daemon_autopilot/eligible_inputs/source_0002/Race 1 - ROCKHAMPTON - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T173835+1000_daemon_autopilot/eligible_inputs/source_0002/Race 1 - ROCKHAMPTON - 2026-06-10.csv,True,8,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/rockhampton/2026-06-10/1/betdeluxe-tokens?trial=false,2026-06-10T07:40:05Z,2026-06-10,6:54 PM,weather_track_metadata_is_leakage_safe_not_true
Race 1 - TAREE - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T173835+1000_daemon_autopilot/eligible_inputs/source_0003/Race 1 - TAREE - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T173835+1000_daemon_autopilot/eligible_inputs/source_0003/Race 1 - TAREE - 2026-06-10.csv,True,6,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/taree/2026-06-10/1/mcgrath-meats-maiden?trial=false,2026-06-10T07:40:03Z,2026-06-10,6:51 PM,weather_track_metadata_is_leakage_safe_not_true
Race 10 - GUNNEDAH - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T173835+1000_daemon_autopilot/eligible_inputs/source_0004/Race 10 - GUNNEDAH - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T173835+1000_daemon_autopilot/eligible_inputs/source_0004/Race 10 - GUNNEDAH - 2026-06-10.csv,True,8,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/gunnedah/2026-06-10/10/tg-gas-tools-6-15?trial=false,2026-06-10T07:39:44Z,2026-06-10,6:06 PM,weather_track_metadata_is_leakage_safe_not_true
Race 11 - GUNNEDAH - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T173835+1000_daemon_autopilot/eligible_inputs/source_0005/Race 11 - GUNNEDAH - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T173835+1000_daemon_autopilot/eligible_inputs/source_0005/Race 11 - GUNNEDAH - 2026-06-10.csv,True,7,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/gunnedah/2026-06-10/11/tg-carter-s-pharmacy-gunnedah-6-15?trial=false,2026-06-10T07:39:51Z,2026-06-10,6:25 PM,weather_track_metadata_is_leakage_safe_not_true
Race 11 - LADBROKES-Q1-LAKESIDE - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T173835+1000_daemon_autopilot/eligible_inputs/source_0006/Race 11 - LADBROKES-Q1-LAKESIDE - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T173835+1000_daemon_autopilot/eligible_inputs/source_0006/Race 11 - LADBROKES-Q1-LAKESIDE - 2026-06-10.csv,True,8,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/ladbrokes-q1-lakeside/2026-06-10/11/garrards-horse-and-hound-5th-grade-h?trial=false,2026-06-10T07:39:47Z,2026-06-10,6:14 PM,weather_track_metadata_is_leakage_safe_not_true
Race 12 - LADBROKES-Q1-LAKESIDE - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T173835+1000_daemon_autopilot/eligible_inputs/source_0007/Race 12 - LADBROKES-Q1-LAKESIDE - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T173835+1000_daemon_autopilot/eligible_inputs/source_0007/Race 12 - LADBROKES-Q1-LAKESIDE - 2026-06-10.csv,True,8,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/ladbrokes-q1-lakeside/2026-06-10/12/greyhound-state-of-origin-25-june-5th-grade-h?trial=false,2026-06-10T07:39:54Z,2026-06-10,6:32 PM,weather_track_metadata_is_leakage_safe_not_true
Race 13 - LADBROKES-Q1-LAKESIDE - 2026-06-10,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T173835+1000_daemon_autopilot/eligible_inputs/source_0008/Race 13 - LADBROKES-Q1-LAKESIDE - 2026-06-10.csv.metadata.json,../greyhound-autonomous-accuracy-odds-v1-20260610/artifacts/full_evidence_orchestration_20260525/daily_race_ingest_shadow_20260610T173835+1000_daemon_autopilot/eligible_inputs/source_0008/Race 13 - LADBROKES-Q1-LAKESIDE - 2026-06-10.csv,True,8,REJECTED,False,False,False,,,True,False,,https://www.thedogs.com.au/racing/ladbrokes-q1-lakeside/2026-06-10/13/ladbrokes-big-bets-copy-now-5th-grade-h?trial=false,2026-06-10T07:40:00Z,2026-06-10,6:47 PM,weather_track_metadata_is_leakage_safe_not_true
