race_id,race_date,venue,grade,distance,c,winners,udist,minp,maxp,status,reason
SAN_2025-08-21_3,2025-08-21,SAN,"Mixed 4/5",485,6,0,5,2,8,FAIL,no_winner
SAN_2025-08-21_4,2025-08-21,SAN,"Grade 5",600,6,1,5,1,6,FAIL,duplicate_positions
SAN_2025-08-21_5,2025-08-21,SAN,"Restricted Win Heat",595,6,1,3,1,4,FAIL,duplicate_positions
SAN_2025-08-21_6,2025-08-21,SAN,"S/E Heat",730,5,0,4,3,8,FAIL,no_winner
SAN_2025-08-21_7,2025-08-21,SAN,"Grade 5",595,6,1,6,1,7,FAIL,max_out_of_range
SAN_2025-08-21_8,2025-08-21,SAN,"Free For All",515,6,0,4,3,8,FAIL,no_winner
SAN_2025-08-21_9,2025-08-21,SAN,"Mixed 4/5",460,5,1,4,1,6,FAIL,duplicate_positions
SHEPPARTON_2025-08-21_1,2025-08-21,SHEPPARTON,Maiden,390,3,0,3,5,8,FAIL,no_winner
SHEPPARTON_2025-08-21_12,2025-08-21,SHEPPARTON,"Grade 5",390,5,0,5,2,8,FAIL,no_winner
SHEPPARTON_2025-08-21_13,2025-08-21,SHEPPARTON,"Grade 5",390,6,0,4,2,8,FAIL,no_winner
SHEPPARTON_2025-08-21_6,2025-08-21,SHEPPARTON,"Mixed 3/4",390,5,1,4,1,5,FAIL,duplicate_positions
SHEPPARTON_2025-08-21_7,2025-08-21,SHEPPARTON,"Grade 5",390,5,0,4,4,8,FAIL,no_winner
SHEPPARTON_2025-08-21_8,2025-08-21,SHEPPARTON,"Grade 5",425,4,1,3,1,7,FAIL,duplicate_positions
SHEPPARTON_2025-08-21_9,2025-08-21,SHEPPARTON,"Mixed 6/7",450,4,0,4,2,7,FAIL,no_winner
WARRAGUL_2025-08-21_1,2025-08-21,WARRAGUL,"Tier 3 - Maiden",450,5,0,4,2,7,FAIL,no_winner
WARRAGUL_2025-08-21_12,2025-08-21,WARRAGUL,"Grade 5 T3",400,5,0,2,4,7,FAIL,no_winner
WARRAGUL_2025-08-21_4,2025-08-21,WARRAGUL,"Mixed 6/7",400,5,0,4,4,8,FAIL,no_winner
WARRAGUL_2025-08-21_5,2025-08-21,WARRAGUL,"Grade 7",400,6,1,4,1,8,FAIL,duplicate_positions
WAR_2025-08-21_1,2025-08-21,WAR,Maiden,450,4,0,3,2,4,FAIL,no_winner
WAR_2025-08-21_2,2025-08-21,WAR,Maiden,390,6,1,5,1,5,FAIL,duplicate_positions
WAR_2025-08-21_3,2025-08-21,WAR,"Mixed 6/7",400,5,1,5,1,8,FAIL,max_out_of_range
WAR_2025-08-21_4,2025-08-21,WAR,"Mixed 6/7 Heat",450,7,1,5,1,5,FAIL,duplicate_positions
WAR_2025-08-21_5,2025-08-21,WAR,"Restricted Win Heat",450,6,0,4,2,8,FAIL,no_winner
WAR_2025-08-21_6,2025-08-21,WAR,"Grade 5",410,5,1,4,1,6,FAIL,duplicate_positions
WAR_2025-08-21_8,2025-08-21,WAR,"Grade 5",410,5,0,4,2,7,FAIL,no_winner
WAR_2025-08-21_9,2025-08-21,WAR,"Mixed 3/4",400,6,0,4,2,5,FAIL,no_winner
WPK_2025-08-21_1,2025-08-21,WPK,M,520,5,0,4,2,7,FAIL,no_winner
WPK_2025-08-21_2,2025-08-21,WPK,5,520,6,0,4,2,6,FAIL,no_winner
WPK_2025-08-21_3,2025-08-21,WPK,5,440,5,0,3,2,5,FAIL,no_winner
WPK_2025-08-21_5,2025-08-21,WPK,4/5,401,6,0,3,3,7,FAIL,no_winner
WPK_2025-08-21_6,2025-08-21,WPK,M,440,6,1,6,1,8,FAIL,max_out_of_range
WPK_2025-08-21_7,2025-08-21,WPK,3/4,520,6,1,5,1,7,FAIL,duplicate_positions
WPK_2025-08-21_8,2025-08-21,WPK,5,520,5,0,3,2,8,FAIL,no_winner
WPK_2025-08-21_9,2025-08-21,WPK,5,520,4,0,3,3,6,FAIL,no_winner
BAL_2025-08-20_10,2025-08-20,BAL,"Mixed 6/7 Final",485,5,1,4,1,7,FAIL,duplicate_positions
BAL_2025-08-20_11,2025-08-20,BAL,"Mixed 4/5",485,4,0,4,4,8,FAIL,no_winner
BAL_2025-08-20_12,2025-08-20,BAL,"Mixed 4/5",450,5,0,3,2,4,FAIL,no_winner
BAL_2025-08-20_13,2025-08-20,BAL,"Grade 5",500,4,1,4,1,8,FAIL,max_out_of_range
BAL_2025-08-20_14,2025-08-20,BAL,"Grade 5 Heat",425,5,1,4,1,5,FAIL,duplicate_positions
BEN_2025-08-20_1,2025-08-20,BEN,"Tier 3 - Maiden",425,7,0,5,3,7,FAIL,no_winner
BEN_2025-08-20_2,2025-08-20,BEN,Maiden,390,5,0,4,2,8,FAIL,no_winner
BEN_2025-08-20_4,2025-08-20,BEN,"Tier 3 - Grade 6",425,7,0,4,3,8,FAIL,no_winner
BEN_2025-08-20_5,2025-08-20,BEN,"Grade 5 T3",390,5,0,4,2,7,FAIL,no_winner
BEN_2025-08-20_6,2025-08-20,BEN,"Grade 5",390,5,0,4,4,8,FAIL,no_winner
BEN_2025-08-20_7,2025-08-20,BEN,"Mixed 6/7",500,6,0,4,2,7,FAIL,no_winner
